Origin,Visa Free,Visa Required
Afghanistan,24,202
Albania,122,104
Algeria,56,170
Andorra,171,55
Angola,48,178
Antigua and Barbuda,153,73
Argentina,169,57
Armenia,67,159
Australia,185,41
Austria,187,39
Azerbaijan,71,155
Bahamas,159,67
Bahrain,88,138
Bangladesh,38,188
Barbados,163,63
Belarus,80,146
Belgium,187,39
Belize,100,126
Benin,66,160
Bhutan,50,176
Bolivia,78,148
Bosnia and Herzegovina,122,104
Botswana,83,143
Brazil,169,57
Brunei,164,62
Bulgaria,178,48
Burkina Faso,58,168
Burundi,50,176
Cambodia,50,176
Cameroon,48,178
Canada,183,43
Cape Verde Islands,66,160
Central African Republic,51,175
Chad,52,174
Chile,175,51
China,82,144
Colombia,131,95
Comoro Islands,53,173
Congo (Dem. Rep.),43,183
Congo (Rep.),48,178
Costa Rica,148,78
Cote d'Ivoire,58,168
Croatia,184,42
Cuba,59,167
Cyprus,178,48
Czechia,185,41
Denmark,187,39
Djibouti,47,179
Dominica,143,83
Dominican Republic,72,154
Ecuador,94,132
Egypt,51,175
El Salvador,134,92
Equatorial Guinea,55,171
Eritrea,39,187
Estonia,184,42
Ethiopia,44,182
Fiji,89,137
Finland,187,39
France,187,39
Gabon,58,168
Georgia,123,103
Germany,188,38
Ghana,69,157
Greece,186,40
Grenada,147,79
Guatemala,133,93
Guinea,55,171
Guinea-Bissau,53,173
Guyana,90,136
Haiti,52,174
Honduras,130,96
Hong Kong (SAR China),170,56
Hungary,186,40
Iceland,181,45
India,57,169
Indonesia,73,153
Iran,41,185
Iraq,29,197
Ireland,187,39
Israel,165,61
Italy,188,38
Jamaica,87,139
Japan,189,37
Jordan,52,174
Kazakhstan,78,148
Kenya,70,156
Kiribati,123,103
Kosovo,81,145
Kuwait,99,127
Kyrgyzstan,62,164
Laos,46,180
Latvia,182,44
Lebanon,44,182
Lesotho,75,151
Liberia,50,176
Libya,39,187
Liechtenstein,182,44
Lithuania,181,45
Luxembourg,188,38
Macao (SAR China),142,84
Madagascar,58,168
Malawi,72,154
Malaysia,180,46
Maldives,94,132
Mali,54,172
Malta,185,41
Marshall Islands,127,99
Mauritania,57,169
Mauritius,148,78
Mexico,157,69
Micronesia,122,104
Moldova,121,105
Monaco,177,49
Mongolia,65,161
Montenegro,128,98
Morocco,73,153
Mozambique,61,165
Myanmar,44,182
Namibia,77,149
Nauru,86,140
Nepal,36,190
Netherlands,187,39
New Zealand,186,40
Nicaragua,126,100
Niger,56,170
Nigeria,44,182
North Korea,38,188
North Macedonia,129,97
Norway,186,40
Oman,87,139
Pakistan,31,195
Palau Islands,122,104
Palestinian Territory,39,187
Panama,148,78
Papua New Guinea,85,141
Paraguay,145,81
Peru,142,84
Philippines,64,162
Poland,185,41
Portugal,186,40
Qatar,111,115
Romania,179,47
Russian Federation,114,112
Rwanda,65,161
Samoa,129,97
San Marino,169,57
Sao Tome and Principe,61,165
Saudi Arabia,90,136
Senegal,58,168
Serbia,137,89
Seychelles,155,71
Sierra Leone,64,162
Singapore,193,33
Slovakia,184,42
Slovenia,184,42
Solomon Islands,133,93
Somalia,33,193
South Africa,102,124
South Korea,190,36
South Sudan,43,183
Spain,188,38
Sri Lanka,41,185
St. Kitts and Nevis,154,72
St. Lucia,146,80
St. Vincent and the Grenadines,156,70
Sudan,41,185
Suriname,78,148
Sweden,186,40
Switzerland,188,38
Syria,26,200
Taiwan (Chinese Taipei),136,90
Tajikistan,55,171
Tanzania,70,156
Thailand,80,146
The Gambia,70,156
Timor-Leste,94,132
Togo,59,167
Tonga,129,97
Trinidad and Tobago,147,79
Tunisia,68,158
Turkmenistan,48,178
Tuvalu,126,100
Türkiye,113,113
Uganda,67,159
Ukraine,144,82
United Arab Emirates,184,42
United Kingdom,184,42
United States,180,46
Uruguay,156,70
Uzbekistan,61,165
Vanuatu,90,136
Vatican City,153,73
Venezuela,118,108
Vietnam,50,176
Yemen,31,195
Zambia,66,160
Zimbabwe,63,163
eSwatini,73,153
